brand,cpu,gpu,os,storage_type,ram_gb,storage_gb,screen_inches,rating,warranty_years,cpu_physical_cores,cpu_threads,year,price
Dell,13th Gen Intel Core i7 13650HX,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,ssd,165.0,1024.0,15.6,70.0,1.0,14.0,12.0,2023.0,99990.0
HP,12th Gen Intel Core i3 1215U,Intel Integrated UHD,Windows 11 OS,ssd,84.0,512.0,15.6,55.0,1.0,12.0,8.0,2023.0,36349.0
Zebronics,11th Gen Intel Core i5 1155G7,Intel Integrated UHD,Windows 11 OS,ssd,164.0,512.0,15.6,57.0,1.0,12.0,8.0,2023.0,27990.0
Zebronics,12th Gen Intel Core i7 1255U,Intel Integrated,Windows 11 OS,ssd,164.0,1024.0,15.6,66.0,1.0,10.0,12.0,2023.0,43990.0
Lenovo,7th Gen AMD Ryzen 7 7730U,AMD Radeon AMD,Windows 11 OS,ssd,84.0,512.0,15.6,65.0,1.0,12.0,16.0,2023.0,44990.0
Lenovo,12th Gen Intel Core i3 1215U,‎Intel UHD Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,54.0,1.0,12.0,8.0,2023.0,34990.0
HP,7th Gen AMD Ryzen 7 7840HS,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,165.0,512.0,16.1,72.0,1.0,12.0,16.0,2023.0,79990.0
Acer,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,164.0,512.0,15.6,66.0,1.0,12.0,12.0,2023.0,53990.0
Asus,11th Gen Intel Core i7 11800H,4 GB NVIDIA GeForce RTX 3050 Ti,Windows 11 OS,ssd,164.0,512.0,15.6,66.0,1.0,12.0,16.0,2023.0,69990.0
Asus,11th Gen Intel Core i5 11260H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,84.0,512.0,15.6,62.0,1.0,12.0,12.0,2023.0,48990.0
MSI,11th Gen Intel Core i5 11260H,256 GB SSD,"15.6 inches, 1920 x 1080 pixels",hdd,164.0,1024.0,4.0,69.0,11.0,12.0,12.0,2023.0,52990.0
Lenovo,7th Gen AMD Ryzen 7 7840HS,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,ssd,165.0,512.0,15.6,70.0,1.0,12.0,16.0,2023.0,79990.0
Asus,intel Celeron  N4020,Integrated Intel UHD Graphics,Windows 11 OS,ssd,44.0,256.0,15.6,62.0,1.0,12.0,2.0,2023.0,19990.0
HP,13th Gen Intel Core i5 13420H,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,ssd,165.0,512.0,16.1,64.0,1.0,12.0,12.0,2023.0,89990.0
Infinix,11th Gen Intel Celeron N5100,Intel Integrated UHD,Windows 11 OS,ssd,44.0,128.0,15.6,62.0,1.0,12.0,4.0,2023.0,18990.0
Asus,12th Gen Intel Core i7 12650H,Intel Iris Xe,Windows 11 OS,ssd,164.0,512.0,15.6,63.0,1.0,10.0,16.0,2023.0,59990.0
Lenovo,7th Gen AMD Ryzen 5 7535HS,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,165.0,512.0,15.6,65.0,1.0,12.0,12.0,2023.0,53490.0
Dell,5th Gen AMD Ryzen 5 5500U,AMD Radeon Radeon Graphics,Windows 11 OS,ssd,84.0,512.0,15.6,59.0,1.0,12.0,12.0,2023.0,36890.0
Infinix,13th Gen Intel Core i9 13900H,Intel Integrated Iris Xe,Windows 11 OS,ssd,325.0,1024.0,15.6,68.0,1.0,14.0,20.0,2023.0,74990.0
Acer,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce GTX 3050,Windows 11 OS,ssd,164.0,512.0,15.6,64.0,1.0,12.0,12.0,2023.0,57990.0
Asus,7th Gen AMD Ryzen 7 7735HS,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,ssd,165.0,512.0,15.6,73.0,1.0,12.0,16.0,2023.0,89990.0
Asus,11th Gen Intel Core i5 11400H ,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,ssd,164.0,512.0,15.6,66.0,1.0,12.0,12.0,2023.0,52990.0
Acer,13th Gen Intel Core i7 13700HX,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,ssd,165.0,1024.0,16.0,70.0,1.0,16.0,24.0,2023.0,112500.0
