feature_name,mean_abs_shap
cat__cpu_Intel Core M m3 1.2GHz,0.0
cat__cpu_Intel Core i7 7660U 2.5GHz,0.0
cat__cpu_Intel Core i5 6440HQ 2.6GHz,0.0
cat__cpu_Intel Core i5 7200U 2.7GHz,0.0
cat__cpu_Intel Core i5 7300HQ 2.5GHz,0.0
cat__cpu_Intel Core i5 7300U 2.6GHz,0.0
cat__cpu_Intel Core i5 7440HQ 2.8GHz,0.0
cat__cpu_Intel Core i5 7500U 2.7GHz,0.0
cat__cpu_Intel Core i5 7Y54 1.2GHz,0.0
cat__cpu_Intel Core i5 7Y57 1.2GHz,0.0
cat__cpu_Intel Core i5 8250U 1.6GHz,0.0
cat__cpu_Intel Core i7 2.2GHz,0.0
cat__cpu_Intel Core i7 2.7GHz,0.0
cat__cpu_Intel Core i7 2.8GHz,0.0
cat__cpu_Intel Core i7 2.9GHz,0.0
cat__cpu_Intel Core i7 6500U 2.5GHz,0.0
cat__cpu_Intel Core i7 6560U 2.2GHz,0.0
cat__cpu_Intel Core i7 6600U 2.6GHz,0.0
cat__cpu_Intel Core i7 6700HQ 2.6GHz,0.0
cat__cpu_Intel Core i7 6820HK 2.7GHz,0.0
cat__cpu_Intel Core i7 6820HQ 2.7GHz,0.0
cat__cpu_Intel Core i7 6920HQ 2.9GHz,0.0
cat__cpu_Intel Core i7 7500U 2.5GHz,0.0
cat__gpu_AMD Radeon 520,0.0
cat__cpu_Intel Core i7 7560U 2.4GHz,0.0
cat__cpu_Intel Core i7 7600U 2.8GHz,0.0
cat__cpu_Intel Core i5 7200U 2.5GHz,0.0
cat__cpu_Intel Core i5 6300U 2.4GHz,0.0
cat__cpu_Intel Core M m3-7Y30 2.2GHz,0.0
cat__cpu_Intel Core i5 6300HQ 2.3GHz,0.0
cat__cpu_Intel Core M m7-6Y75 1.2GHz,0.0
cat__cpu_Intel Core Ultra 5 125U,0.0
cat__cpu_Intel Core Ultra 5 Series 1 125H,0.0
cat__cpu_Intel Core Ultra 7 155H,0.0
cat__cpu_Intel Core Ultra 7 155U,0.0
cat__cpu_Intel Core Ultra 7 Series 1 155H,0.0
cat__cpu_Intel Core Ultra 9 Series 1 185H,0.0
cat__cpu_Intel Core i3 6006U 2.0GHz,0.0
cat__cpu_Intel Core i3 6006U 2.2GHz,0.0
cat__cpu_Intel Core i3 6100U 2.1GHz,0.0
cat__cpu_Intel Core i3 6100U 2.3GHz,0.0
cat__cpu_Intel Core i3 7100U 2.4GHz,0.0
cat__cpu_Intel Core i3 7130U 2.7GHz,0.0
cat__cpu_Intel Core i3 N305,0.0
cat__cpu_Intel Core i5 1.3GHz,0.0
cat__cpu_Intel Core i5 1.6GHz,0.0
cat__cpu_Intel Core i5 1.8GHz,0.0
cat__cpu_Intel Core i5 2.0GHz,0.0
cat__cpu_Intel Core i5 2.3GHz,0.0
cat__cpu_Intel Core i5 2.9GHz,0.0
cat__cpu_Intel Core i5 3.1GHz,0.0
cat__cpu_Intel Core i5 6200U 2.3GHz,0.0
cat__cpu_Intel Core i5 6260U 1.8GHz,0.0
cat__gpu_AMD Radeon,0.0
cat__gpu_AMD Radeon 680M,0.0
cat__gpu_AMD Radeon 530,0.0
cat__gpu_Nvidia GeForce GTX1060,0.0
cat__gpu_Nvidia GeForce GTX 940M,0.0
cat__gpu_Nvidia GeForce GTX 940MX,0.0
cat__gpu_Nvidia GeForce GTX 950M,0.0
cat__gpu_Nvidia GeForce GTX 960,0.0
cat__gpu_Nvidia GeForce GTX 960<U+039C>,0.0
cat__gpu_Nvidia GeForce GTX 960M,0.0
cat__gpu_Nvidia GeForce GTX 965M,0.0
cat__gpu_Nvidia GeForce GTX 970M,0.0
cat__gpu_Nvidia GeForce GTX 980,0.0
cat__gpu_Nvidia GeForce GTX 980M,0.0
cat__gpu_Nvidia GeForce GTX1050 Ti,0.0
